customer_id,customer_name,age,income,employment_type,credit_score,state
10050,Rachel Thomas,28,213193.95,Salaried,737,New York
10051,Mark White,23,117967.94,Retired,735,North Carolina
10052,John Wilson,59,97294.27,Salaried,658,Ohio
10053,Daniel Moore,28,75290.4,Business Owner,597,North Carolina
10054,Ashley Taylor,36,51499.02,Salaried,792,Arizona
10055,Elizabeth Taylor,26,64222.06,Salaried,703,Florida
10056,John Harris,61,84500.95,Retired,620,New York
10057,Amanda Jackson,26,51704.13,Business Owner,770,Florida
10058,Lauren Moore,65,74877.77,Contractor,631,Michigan
10059,Amanda Anderson,51,144967.32,Salaried,712,Arizona
10060,John Thompson,51,53373.74,Contractor,613,Michigan
10061,Megan Thomas,41,77717.88,Salaried,816,Washington
10062,Ashley Davis,60,74682.53,Salaried,639,Massachusetts
10063,Jessica Taylor,29,92055.56,Salaried,850,Michigan
10064,Charles Johnson,61,54760.84,Business Owner,688,Michigan
10065,David Robinson,67,69727.7,Salaried,652,Arizona
10066,Mark Clark,37,30000,Self-Employed,582,Florida
10067,Daniel Johnson,51,78656.08,Retired,731,Arizona
10068,Joseph Wilson,27,118699.18,Salaried,725,Illinois
10069,Jessica Martin,31,118909.28,Self-Employed,750,Michigan
10070,Ashley Davis,66,146044.03,Salaried,717,Ohio
10071,Matthew Jackson,46,52366.43,Business Owner,689,North Carolina
10072,Kenneth Moore,56,98595.32,Salaried,547,Virginia
10073,David Thompson,47,90493.77,Contractor,679,California
10074,Paul Clark,62,76096.25,Self-Employed,756,Washington
10075,Lauren Martinez,36,100471.88,Self-Employed,821,New York
10076,Lauren White,23,89097.51,Retired,759,Ohio
10077,Thomas Brown,54,55346.49,Business Owner,741,Pennsylvania
10078,Michael Robinson,57,189275.77,Salaried,688,Virginia
10079,Thomas Anderson,60,187062.93,Contractor,668,New Jersey
10080,John Miller,57,48016.63,Salaried,500,North Carolina
10081,Rachel Miller,25,113450.87,Self-Employed,763,Michigan
10082,Michael Harris,56,63463.75,Salaried,746,Florida
10083,John Taylor,53,127772.19,Salaried,719,Virginia
10084,Robert Johnson,67,59626.22,Salaried,674,Washington
10085,Daniel Anderson,40,49462.04,Business Owner,759,Massachusetts
10086,Elizabeth White,64,109846.4,Retired,721,Georgia
10087,Lauren Taylor,45,67086.53,Business Owner,653,Virginia
10088,Andrew White,63,97387.01,Salaried,671,New York
10089,Mark Jackson,43,70171.16,Self-Employed,696,Ohio
10090,Joshua Martinez,39,51148.99,Self-Employed,690,Illinois
10091,Charles Robinson,55,30000,Salaried,555,New York
10092,David Brown,30,139279.95,Business Owner,713,Georgia
10093,Joseph Robinson,48,100933.92,Contractor,665,New York
10094,Joseph Thompson,43,30774.29,Salaried,771,Washington
10095,Joshua White,56,51039.4,Business Owner,850,New Jersey
10096,Robert Harris,23,76210.46,Salaried,521,Illinois
10097,Robert Thomas,60,160720.43,Salaried,777,Georgia
10098,Amanda Robinson,50,120255.56,Retired,661,Massachusetts
10099,Rachel Jones,55,125914.55,Salaried,641,Michigan
10100,Amanda Jackson,37,103634.33,Self-Employed,640,Georgia
10101,Ashley Garcia,33,85296.7,Self-Employed,716,Texas
10102,Steven Williams,23,91078.17,Contractor,733,Florida
10103,Amanda White,64,104901.93,Salaried,850,Illinois
10104,William Moore,65,64274.65,Business Owner,655,Virginia
10105,William Thompson,27,31887.57,Salaried,629,California
10106,Daniel Johnson,41,102222.33,Retired,557,New Jersey
10107,Thomas White,63,77999.79,Self-Employed,636,Pennsylvania
10108,Joshua Martinez,61,41493.13,Salaried,709,Arizona
10109,Daniel White,48,76183.73,Retired,532,Illinois
10110,Lauren Davis,47,147677.01,Business Owner,616,New Jersey
10111,James Harris,27,55403.41,Self-Employed,686,Texas
10112,Kenneth Davis,40,72878.62,Business Owner,615,Illinois
10113,Andrew Harris,30,68208.08,Business Owner,777,Pennsylvania
10114,Jennifer Williams,32,56210.64,Salaried,689,New Jersey
10115,Steven Miller,32,60831.87,Contractor,700,Virginia
10116,Daniel Anderson,55,76748.25,Salaried,653,Washington
10117,Anthony Johnson,30,129826.8,Salaried,636,Florida
10118,Samantha Jackson,31,89772.54,Salaried,806,Michigan
10119,Anthony Jones,35,128153.61,Retired,672,Michigan
10120,Lauren Thomas,65,76983.61,Salaried,589,New Jersey
10121,Rachel Harris,45,88730.01,Salaried,681,New Jersey
10122,Rachel Martinez,60,39977.63,Salaried,727,New York
10123,Ashley Wilson,48,104350.31,Self-Employed,794,Michigan
10124,Amanda Davis,47,130075.94,Business Owner,797,North Carolina
10125,Elizabeth Davis,33,88204.08,Business Owner,771,Massachusetts
10126,Robert Williams,55,139230.78,Business Owner,736,Massachusetts
10127,Mark Harris,65,149592.85,Contractor,695,New Jersey
10128,Thomas Garcia,33,91713.23,Salaried,642,Ohio
10129,Joseph Taylor,28,106601.44,Contractor,827,Arizona
10130,Daniel Jackson,45,215915.43,Salaried,684,Illinois
10131,David Clark,64,59228.62,Self-Employed,763,California
10132,Samantha Harris,56,103120.59,Salaried,773,Massachusetts
10133,Paul Martin,65,204666.74,Salaried,601,Arizona
10134,Steven Martinez,34,63874.78,Contractor,736,North Carolina
10135,John Jones,48,210895.94,Salaried,649,Washington
10136,Mark Harris,40,92007.89,Salaried,595,North Carolina
10137,Jessica Martin,52,63264.12,Retired,636,Florida
10138,Lauren Garcia,65,115157.16,Retired,715,New Jersey
10139,Samantha Davis,56,127270.92,Salaried,815,North Carolina
10140,Sarah Harris,42,70081.33,Salaried,730,Massachusetts
10141,Kenneth White,28,96948.04,Salaried,755,Georgia
10142,Paul Moore,28,73802.62,Salaried,686,Ohio
10143,William Williams,41,67129.5,Salaried,676,Illinois
10144,James Wilson,38,105495.66,Contractor,618,Virginia
10145,Matthew Clark,63,139496.36,Business Owner,620,Arizona
10146,Joseph Jones,32,59805.8,Salaried,666,Washington
10147,John Williams,26,81315.81,Salaried,682,New Jersey
10148,Emily Wilson,23,229356.74,Salaried,537,Massachusetts
10149,Kenneth Williams,62,115561.84,Salaried,634,Ohio
10150,Ashley Miller,66,43691.42,Salaried,612,Virginia
10151,John Robinson,33,126180.69,Salaried,803,Pennsylvania
10152,Daniel Davis,41,50362.01,Retired,680,Ohio
10153,John Jackson,35,42593.5,Salaried,784,Florida
10154,Thomas Jones,43,85072.86,Salaried,712,New Jersey
10155,Sarah Harris,24,168381.66,Business Owner,620,Michigan
10156,William Williams,24,136791.93,Salaried,763,Florida
10157,Joseph Thompson,39,172445.32,Salaried,521,Arizona
10158,Joseph Moore,39,129538.31,Salaried,734,Georgia
10159,Michael Brown,23,74667.1,Self-Employed,711,Illinois
10160,Emily Thompson,27,112044.75,Salaried,788,Virginia
10161,Elizabeth Jackson,57,202800.51,Self-Employed,803,Georgia
10162,Thomas Moore,25,229141.23,Salaried,587,Illinois
10163,William Jones,28,41428.5,Salaried,603,Washington
10164,Steven Thompson,48,101868.07,Salaried,581,Texas
10165,Joseph Wilson,59,63998.13,Salaried,663,Illinois
10166,John Anderson,63,137663.06,Business Owner,656,Arizona
10167,Andrew Clark,42,121776.24,Retired,703,Florida
10168,Joshua Anderson,34,88143.7,Salaried,775,Virginia
10169,Joshua Williams,55,62845.18,Self-Employed,672,Ohio
10170,Sarah Taylor,46,107772.12,Self-Employed,695,Florida
10171,Daniel Jones,30,84542.4,Retired,578,Illinois
10172,David Davis,42,94225.02,Self-Employed,773,Michigan
10173,Mark Jackson,45,81891.73,Self-Employed,706,Washington
10174,Sarah Clark,51,102766.44,Salaried,698,Arizona
10175,James Robinson,35,88577.51,Salaried,770,Virginia
10176,Andrew Johnson,64,129854.51,Contractor,696,New Jersey
10177,Megan Martinez,57,30000,Salaried,769,Massachusetts
10178,Thomas Brown,29,78226.27,Retired,706,Ohio
10179,Charles Garcia,35,69673.37,Self-Employed,809,New Jersey
10180,Samantha Miller,50,102461.89,Salaried,628,Michigan
10181,Steven Martin,59,131760.69,Retired,751,Massachusetts
10182,David Martin,62,97315.58,Contractor,627,Illinois
10183,Richard Martinez,47,90666.57,Salaried,709,Texas
10184,William Clark,49,69443.7,Salaried,658,Ohio
10185,Jessica Miller,37,124499.97,Salaried,694,Virginia
10186,Jennifer White,37,210606.92,Retired,665,Michigan
10187,Steven Martin,35,107539.96,Salaried,749,Texas
10188,Sarah Johnson,25,97933.47,Contractor,794,Arizona
10189,Richard Harris,51,107767.58,Self-Employed,796,Arizona
10190,Anthony Davis,47,67760.35,Self-Employed,800,Arizona
10191,Andrew Brown,40,60356.17,Business Owner,652,Virginia
10192,Rachel Thomas,46,58904.61,Salaried,699,Virginia
10193,James Taylor,49,95109.76,Contractor,580,Washington
10194,Ashley Jackson,40,123535.25,Salaried,674,New Jersey
10195,Paul White,45,100257.75,Salaried,588,Florida
10196,James Taylor,38,74941.95,Business Owner,706,Ohio
10197,Anthony Robinson,65,117237.67,Salaried,714,Florida
10198,Joshua Brown,26,74328.88,Business Owner,672,Pennsylvania
10199,Elizabeth Miller,34,102195.25,Retired,737,Virginia
10200,Rachel Wilson,38,67160.33,Self-Employed,711,Arizona
10201,Elizabeth Thompson,61,103072.94,Salaried,666,Pennsylvania
10202,Jessica Harris,48,55837.65,Salaried,555,California
10203,James Jones,25,40563.52,Business Owner,699,Illinois
10204,Megan Martin,66,111165.11,Self-Employed,734,Illinois
10205,Mark Thompson,38,170173.08,Salaried,648,Georgia
10206,Emily Thompson,60,70089.99,Salaried,777,Pennsylvania
10207,Paul Johnson,34,30000,Salaried,592,New York
10208,Anthony Jones,38,147994.08,Salaried,740,Georgia
10209,Elizabeth Martinez,62,92925.19,Salaried,725,New York
10210,Richard Martinez,61,263092.91,Contractor,612,Illinois
10211,Charles Jones,23,174051.98,Salaried,759,Pennsylvania
10212,Thomas Jackson,42,67644.32,Salaried,791,New Jersey
10213,Joseph Miller,42,85370.27,Salaried,850,Ohio
10214,Sarah Moore,36,110240.77,Self-Employed,689,Illinois
10215,Sarah Anderson,47,65093.09,Retired,709,Washington
10216,Robert Miller,44,184149.66,Salaried,594,Arizona
10217,Daniel Miller,45,119250.64,Salaried,674,New Jersey
10218,Matthew Robinson,38,60136.34,Self-Employed,733,Massachusetts
10219,Mark Jackson,37,168251.43,Salaried,730,Pennsylvania
10220,Amanda Brown,36,47384.25,Salaried,500,Virginia
10221,William Moore,61,116164.66,Salaried,550,Arizona
10222,Kenneth Taylor,59,47682.97,Salaried,850,Florida
10223,Michael White,41,141107.94,Salaried,777,Washington
10224,Samantha Thomas,48,59351.99,Contractor,713,Washington
10225,Megan Moore,47,67409.88,Salaried,730,Pennsylvania
10226,Anthony Davis,66,101287.75,Business Owner,636,Illinois
10227,Paul Jackson,23,102993.21,Salaried,735,Massachusetts
10228,Michael Clark,52,103838.23,Salaried,586,Virginia
10229,William Jackson,46,92291.43,Self-Employed,620,Florida
10230,Charles Martinez,66,54167.73,Self-Employed,758,Ohio
10231,Emily Anderson,53,77936.79,Salaried,664,Michigan
10232,James Jones,46,86651.06,Self-Employed,821,Georgia
10233,Jennifer Martinez,36,100802.26,Salaried,598,Georgia
10234,Andrew Jackson,48,65302.06,Salaried,664,Illinois
10235,Emily Taylor,62,123809.48,Contractor,604,Arizona
10236,Paul Wilson,67,70038.81,Salaried,795,Massachusetts
10237,Steven Miller,30,63124.65,Contractor,736,California
10238,Ashley Harris,62,54507.73,Salaried,807,California
10239,Jessica Wilson,25,53884.22,Business Owner,575,North Carolina
10240,Matthew Moore,36,52584.67,Salaried,704,Pennsylvania
10241,Kenneth Thompson,64,62587.68,Retired,670,New Jersey
10242,James Robinson,40,172089.96,Retired,661,New Jersey
10243,Elizabeth Clark,65,86510.07,Salaried,774,Michigan
10244,Thomas Taylor,57,201689.62,Salaried,652,Massachusetts
10245,Andrew Williams,42,36452.27,Self-Employed,730,New York
10246,Daniel Anderson,46,125670.52,Salaried,757,New York
10247,Michael Taylor,54,118295.29,Salaried,797,Arizona
10248,Charles Johnson,24,38116.8,Self-Employed,547,Massachusetts
10249,Elizabeth Williams,30,92971.89,Self-Employed,657,Florida
10250,Richard Jones,67,93230.76,Salaried,657,Michigan
10251,Paul Clark,40,103276.15,Salaried,686,Arizona
10252,James Brown,46,63338.25,Salaried,724,Michigan
10253,Charles Williams,48,105867.9,Contractor,681,Texas
10254,James Robinson,32,139634.26,Retired,778,New Jersey
10255,Richard White,40,52513.41,Salaried,793,North Carolina
10256,Megan Martin,54,70774.17,Self-Employed,620,Florida
10257,John Wilson,25,114039.8,Self-Employed,711,Massachusetts
10258,John Robinson,59,55153.4,Salaried,805,North Carolina
10259,Mark Clark,54,129549.04,Self-Employed,564,Georgia
10260,Anthony Jackson,38,85746.83,Salaried,573,Illinois
10261,John Clark,25,132277.04,Salaried,610,Florida
10262,Elizabeth Thomas,54,30000,Self-Employed,703,Texas
10263,Richard Moore,59,135296.84,Salaried,577,Texas
10264,Mark Thompson,34,108172.6,Salaried,635,Michigan
10265,Thomas White,54,117924.29,Salaried,746,Pennsylvania
10266,Jennifer Jones,58,61005.49,Self-Employed,672,Massachusetts
10267,Amanda Thomas,53,190585.2,Self-Employed,654,Georgia
10268,Richard Anderson,44,59479.84,Self-Employed,778,New York
10269,Megan Martinez,37,134042.98,Retired,581,Ohio
10270,John Thomas,36,82272.71,Salaried,676,Pennsylvania
10271,Robert Anderson,66,34353.37,Business Owner,770,New Jersey
10272,John Robinson,23,116964.75,Salaried,640,Virginia
10273,Paul Clark,67,87605.5,Business Owner,796,Arizona
10274,Amanda Martin,38,59578.59,Contractor,544,New York
10275,Michael Moore,50,79281.54,Salaried,765,Michigan
10276,Andrew Jackson,26,320559.93,Contractor,643,Arizona
10277,William Anderson,25,61837.66,Retired,720,Virginia
10278,Kenneth Williams,40,138251.77,Contractor,796,Pennsylvania
10279,Lauren Davis,40,79167.98,Salaried,776,New Jersey
10280,Samantha Moore,48,93630.04,Salaried,674,California
10281,Anthony Thompson,51,135045.84,Salaried,713,Ohio
10282,Megan Brown,54,134193.42,Self-Employed,700,California
10283,Mark Williams,46,104215.07,Salaried,607,New York
10284,Jessica Harris,40,52841.52,Salaried,816,New Jersey
10285,William Martinez,51,97643.03,Salaried,532,Arizona
10286,Rachel Martinez,49,95029.71,Salaried,693,California
10287,Jennifer Martin,51,63935.92,Salaried,759,North Carolina
10288,Thomas Clark,45,51061.48,Salaried,644,New York
10289,Charles Thomas,39,153259.42,Salaried,714,Ohio
10290,Jessica Thompson,57,48891.94,Salaried,666,Georgia
10291,Charles Moore,35,118498.01,Salaried,691,Florida
10292,Steven Wilson,49,59598.06,Retired,705,California
10293,Charles Robinson,48,117421.34,Retired,772,Ohio
10294,Joseph Moore,42,33342.48,Self-Employed,842,Arizona
10295,William Martin,44,129971.27,Salaried,601,Illinois
10296,Jennifer Taylor,51,73416.85,Self-Employed,725,Washington
10297,John Williams,44,53948.44,Business Owner,781,Illinois
10298,Joseph Williams,36,220983.82,Self-Employed,656,Washington
10299,Richard Thomas,32,84060.24,Business Owner,795,Virginia
10300,Joshua Martin,63,94544.34,Salaried,500,Virginia
10301,Samantha Martin,62,92142.56,Business Owner,787,California
10302,Steven Davis,63,123159.71,Salaried,688,Arizona
10303,Megan Anderson,28,66039.17,Salaried,672,Washington
10304,Jessica Thomas,33,184578.05,Business Owner,692,New Jersey
10305,Steven Brown,33,58075.31,Salaried,790,Texas
10306,Thomas Davis,54,65728.74,Contractor,666,New Jersey
10307,John Jackson,61,94109.65,Business Owner,597,Virginia
10308,Joshua Wilson,28,237437.02,Self-Employed,575,New York
10309,Samantha Taylor,53,68138.47,Salaried,642,Washington
10310,Robert Johnson,51,103524.67,Salaried,666,New Jersey
10311,Matthew Brown,47,69268.22,Retired,618,Arizona
10312,Elizabeth Garcia,67,59598.26,Salaried,735,Pennsylvania
10313,Lauren Thomas,31,98187.49,Salaried,646,New York
10314,Steven Martinez,53,174583.86,Self-Employed,705,Illinois
10315,Emily Martinez,30,45567.39,Salaried,641,Michigan
10316,David Brown,46,96067.74,Salaried,688,Massachusetts
10317,John Wilson,42,110319.57,Salaried,670,Illinois
10318,Amanda Thomas,38,77039.32,Contractor,705,Massachusetts
10319,Andrew Johnson,51,73794.58,Business Owner,702,Florida
10320,Michael Johnson,67,58544.9,Contractor,764,Michigan
10321,Matthew Garcia,52,69961.44,Self-Employed,675,New York
10322,Ashley Garcia,39,64677.47,Self-Employed,732,Texas
10323,Thomas Wilson,63,134309.99,Salaried,696,Washington
10324,Lauren Martin,40,63977.32,Business Owner,748,New York
10325,Sarah Thomas,51,99193.32,Salaried,759,California
10326,Michael Martin,45,156377.82,Retired,827,Texas
10327,Matthew Davis,31,53133.09,Business Owner,697,New Jersey
10328,Jessica Taylor,57,55209.2,Salaried,747,Ohio
10329,David Martinez,66,87222.97,Salaried,669,Massachusetts
10330,Matthew Garcia,27,65712.64,Salaried,597,Florida
10331,Anthony Davis,67,136627.27,Self-Employed,696,Georgia
10332,Jennifer Martinez,35,124696.94,Self-Employed,739,New Jersey
10333,Charles Wilson,46,99486.97,Salaried,798,Washington
10334,Andrew Harris,49,151829.93,Contractor,708,New York
10335,Paul Martin,37,74478,Salaried,713,New York
10336,Jennifer Moore,31,90180.55,Business Owner,632,Virginia
10337,Elizabeth Garcia,59,151363.88,Salaried,835,Washington
10338,Rachel Taylor,46,273974.85,Salaried,629,Massachusetts
10339,Elizabeth Clark,24,70755.31,Salaried,698,California
10340,Lauren Robinson,52,73973.76,Salaried,757,New York
10341,Matthew Robinson,44,182704.96,Contractor,667,New Jersey
10342,Mark Robinson,33,89365.89,Self-Employed,745,Illinois
10343,Jennifer Williams,64,43398.71,Retired,552,California
10344,Michael White,35,106729.61,Business Owner,679,Washington
10345,Joseph Martin,46,86713.64,Salaried,752,Washington
10346,Amanda Thomas,52,93503.52,Salaried,500,Illinois
10347,Amanda Thomas,41,136148.32,Self-Employed,554,Florida
10348,Joshua Jones,42,68450.01,Retired,722,Virginia
10349,Joshua Brown,23,66643.99,Self-Employed,544,Illinois
10350,Kenneth Thompson,39,61661.41,Business Owner,642,New Jersey
10351,Amanda Williams,62,156542,Salaried,781,Arizona
10352,Amanda Martin,64,101274.22,Self-Employed,551,New Jersey
10353,William Johnson,52,30000,Salaried,774,Washington
10354,Emily Moore,51,137530.53,Salaried,704,Ohio
10355,Steven Anderson,66,106692.92,Salaried,693,Illinois
10356,Joseph Harris,32,30000,Salaried,521,Ohio
10357,Kenneth Miller,51,190732.21,Salaried,743,Massachusetts
10358,Daniel Taylor,32,211980.14,Salaried,583,Georgia
10359,Daniel Miller,45,91639.58,Salaried,661,Pennsylvania
10360,Charles Thomas,49,118770.64,Self-Employed,810,Florida
10361,Andrew Harris,23,71838.69,Self-Employed,604,Washington
10362,Joseph Brown,48,68802.43,Business Owner,641,Michigan
10363,Charles Thompson,56,151813.93,Self-Employed,576,Massachusetts
10364,Elizabeth Thompson,30,70316.34,Business Owner,570,Texas
10365,Matthew Robinson,62,69340.29,Contractor,683,California
10366,Joshua Wilson,27,108329.85,Salaried,739,North Carolina
10367,Joshua Martinez,64,43768.38,Business Owner,674,Texas
10368,Mark Johnson,36,69663.71,Self-Employed,660,North Carolina
10369,Charles Clark,37,126456.89,Business Owner,696,New Jersey
10370,Mark Jones,63,36221.12,Salaried,769,Georgia
10371,Megan Wilson,37,79770.26,Salaried,619,Pennsylvania
10372,Charles Johnson,58,69511,Salaried,790,Virginia
10373,Lauren Garcia,47,58463.75,Salaried,605,Texas
10374,Matthew Taylor,63,46620.03,Salaried,644,Washington
10375,Joseph Clark,33,53718.67,Salaried,775,Florida
10376,Samantha Williams,52,60268.39,Salaried,703,Florida
10377,Joseph Martinez,35,56641.99,Retired,708,Illinois
10378,Richard Wilson,59,74272.08,Salaried,588,North Carolina
10379,Jennifer Jones,43,69112.21,Salaried,738,Michigan
10380,Elizabeth Harris,66,51233.79,Salaried,787,Massachusetts
10381,David Anderson,59,98483.4,Self-Employed,683,Massachusetts
10382,David Thomas,58,95405.54,Self-Employed,776,Arizona
10383,Lauren Taylor,33,42986.97,Salaried,688,New York
10384,Michael Anderson,34,137858.37,Salaried,579,New York
10385,David Moore,24,76746.41,Salaried,688,New Jersey
10386,Mark Davis,25,110996.76,Business Owner,731,California
10387,Kenneth Jones,24,59837.3,Salaried,737,Massachusetts
10388,Joseph Robinson,58,50825.44,Self-Employed,704,Texas
10389,Andrew Jackson,57,85691.91,Salaried,688,Michigan
10390,Joshua Brown,65,52484.95,Salaried,782,New Jersey
10391,Joshua Thompson,24,136041.01,Salaried,763,Washington
10392,John Wilson,37,233752.43,Retired,628,Georgia
10393,Thomas Jackson,65,121220.1,Contractor,634,New Jersey
10394,Samantha Wilson,51,85074.33,Salaried,740,Virginia
10395,John White,24,69623.68,Self-Employed,587,New Jersey
10396,Charles Harris,32,56876.62,Salaried,664,North Carolina
10397,William Miller,51,76607.87,Salaried,663,Texas
10398,Matthew Garcia,51,56983.05,Salaried,626,Illinois
10399,Andrew White,58,63228.48,Salaried,821,Arizona
10400,Jessica White,26,158515.41,Salaried,715,New Jersey
10401,Megan Jones,29,71299.94,Salaried,637,Florida
10402,Emily Miller,28,121584.61,Self-Employed,574,Pennsylvania
10403,Andrew Wilson,36,139448.64,Salaried,625,Arizona
10404,Samantha Anderson,60,91092.71,Self-Employed,734,Washington
10405,Andrew Johnson,63,101879.02,Retired,661,North Carolina
10406,Daniel Harris,50,92251.76,Salaried,681,Arizona
10407,Joseph Davis,59,57620.15,Salaried,686,Michigan
10408,Sarah Martin,55,75951.49,Salaried,589,Michigan
10409,Emily Johnson,50,117277.19,Salaried,731,New York
10410,Daniel Martin,39,45295.5,Salaried,741,Massachusetts
10411,Elizabeth Jones,27,66998.25,Salaried,751,Pennsylvania
10412,Matthew Martinez,61,103553.88,Business Owner,633,North Carolina
10413,Michael Robinson,63,111289.55,Salaried,661,Massachusetts
10414,Matthew Harris,36,86869.37,Salaried,734,Illinois
10415,Mark Wilson,24,72442.43,Salaried,735,North Carolina
10416,Matthew Anderson,29,103779.58,Self-Employed,691,Arizona
10417,Samantha Thompson,40,97516.71,Business Owner,745,Florida
10418,Samantha Jackson,30,87198.45,Self-Employed,644,Pennsylvania
10419,Lauren Johnson,24,86900.81,Salaried,643,California
10420,Daniel Jackson,29,100141.71,Salaried,652,New York
10421,Steven Anderson,23,64174.61,Salaried,719,Virginia
10422,Michael Taylor,54,137680.33,Salaried,573,New Jersey
10423,Jennifer White,37,157252.92,Salaried,584,Pennsylvania
10424,Thomas Garcia,67,76839.37,Contractor,703,North Carolina
10425,Megan Miller,57,30000,Salaried,661,New Jersey
10426,Samantha Jones,46,48222.52,Salaried,500,Virginia
10427,Joshua Davis,31,119915.63,Salaried,653,Florida
10428,Jessica Johnson,35,53494.36,Self-Employed,681,Georgia
10429,John Robinson,64,106544.6,Retired,751,Illinois
10430,David Martinez,24,46806.94,Contractor,677,North Carolina
10431,Sarah White,25,111520.96,Salaried,713,New York
10432,Jessica Johnson,58,89933.7,Self-Employed,676,Illinois
10433,John Johnson,56,85982.59,Contractor,719,Massachusetts
10434,James Robinson,31,70284.28,Business Owner,694,Pennsylvania
10435,Mark Williams,60,102920.46,Salaried,607,Virginia
10436,Charles Williams,54,49071.39,Retired,638,Ohio
10437,Samantha Thompson,47,98814.28,Salaried,657,Texas
10438,James Davis,35,75658.39,Retired,573,New Jersey
10439,Emily Moore,44,185345.1,Salaried,724,Arizona
10440,Richard Moore,57,32296.39,Salaried,699,New York
10441,Anthony Martin,44,93080.35,Business Owner,612,Ohio
10442,Andrew Taylor,51,60849.2,Business Owner,749,Ohio
10443,Kenneth Garcia,48,107760.61,Contractor,675,Florida
10444,Robert Taylor,42,133045.07,Retired,760,Illinois
10445,Ashley Miller,55,43582.82,Salaried,673,Pennsylvania
10446,Megan Brown,34,165999.44,Salaried,808,Virginia
10447,John Thompson,38,68497.33,Contractor,637,Virginia
10448,Ashley Jones,49,75457.76,Salaried,750,Texas
10449,Rachel White,65,60258.31,Salaried,801,Massachusetts
10450,John White,54,30000,Contractor,700,Virginia
10451,Daniel Clark,26,66269.34,Contractor,636,Massachusetts
10452,Thomas Johnson,24,45906.51,Salaried,699,Virginia
10453,Megan Jones,52,38015.54,Contractor,690,Texas
10454,Charles Harris,36,145600.02,Self-Employed,619,New Jersey
10455,Charles Davis,24,142770.41,Contractor,779,Virginia
10456,Steven Williams,57,97466.59,Salaried,613,Illinois
10457,Andrew Martinez,38,53183.82,Salaried,705,Pennsylvania
10458,Rachel Martin,35,145020.53,Contractor,756,North Carolina
10459,Joshua Jones,46,88307.57,Salaried,759,Georgia
10460,Megan Johnson,55,74567.46,Salaried,730,Illinois
10461,Jessica Garcia,28,56753.18,Business Owner,781,Pennsylvania
10462,Mark Jackson,41,89116.07,Contractor,606,Illinois
10463,Jennifer Robinson,57,75525.69,Business Owner,610,New York
